firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ryan,Fitzpatrick,QB,14,STARTED,2020,32013030-2d30-3032-3336-3832b8755c76,00-0023682,FIT792915,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Kyle,Van Noy,LB,53,STARTED,2020,32013030-2d30-3033-3133-3630bb1822f7,00-0031360,VAN656604,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
DeVante,Parker,WR,11,STARTED,2020,32013030-2d30-3033-3135-3437b94ee00a,00-0031547,PAR226609,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Eric,Rowe,S,21,STARTED,2020,32013030-2d30-3033-3135-3535a43c182a,00-0031555,ROW332230,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Bobby,McCain,S,28,STARTED,2020,32013030-2d30-3033-3135-383797880c5e,00-0031587,MCC050868,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Jesse,Davis,G/T,77,STARTED,2020,32013030-2d30-3033-3138-3933495999f9,00-0031893,DAV456757,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Byron,Jones,CB,24,NOT_ACTIVE,2020,32013030-2d30-3033-3232-33397fdd91f4,00-0032239,JON141600,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Ereck,Flowers,G,75,STARTED,2020,32013030-2d30-3033-3232-3539a33cd163,00-0032259,FLO325059,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Kamu,Grugier-Hill,LB,51,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3234-333766f3bc0f,00-0032437,GRU516162,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
Elandon,Roberts,LB,44,STARTED,2020,32013030-2d30-3033-3234-3432256cfbe1,00-0032442,ROB134404,Miami Dolphins,seahawks-at-dolphins-2020-reg-4,2020-10-04T17:00:00.000Z
